customer_id,age,income,spending_score,savings,height_cm,weight_kg,gender,city,education,date,purchase_amount
1,56,25287,18,31314,167,80,Female,New York,PhD,2023-01-01,2519
2,46,54387,40,3643,152,109,Female,Stockholm,Master,2023-01-02,22915
3,32,28512,21,41785,177,83,Male,London,Bachelor,2023-01-03,19997
4,60,21342,15,19681,155,105,Male,Stockholm,Master,2023-01-04,10001
5,25,83076,97,39328,193,64,Male,Nairobi,Master,2023-01-05,36005
6,38,39216,99,16892,193,97,Male,Stockholm,High School,2023-01-06,21707
7,56,113070,26,48299,170,74,Male,New York,High School,2023-01-07,28666
8,36,99767,8,18073,177,85,Female,London,High School,2023-01-08,37507
9,40,117829,94,37768,189,57,Male,Nairobi,Bachelor,2023-01-09,41694
10,28,46614,87,31682,150,58,Male,London,PhD,2023-01-10,25206
11,28,56258,42,33262,185,107,Female,London,PhD,2023-01-11,13262
12,41,113789,44,32358,170,107,Female,Nairobi,Bachelor,2023-01-12,32639
13,53,62078,14,15289,192,86,Male,London,Master,2023-01-13,27198
14,57,103524,78,8927,184,97,Female,London,Bachelor,2023-01-14,37120
15,41,116573,2,49330,162,94,Female,Stockholm,Master,2023-01-15,42438
16,20,32219,37,2171,198,88,Female,London,Bachelor,2023-01-16,12974
17,39,20235,69,12918,159,81,Female,London,Bachelor,2023-01-17,3761
18,19,62929,38,42903,193,107,Male,London,Bachelor,2023-01-18,27139
19,41,87444,41,40110,196,101,Female,London,PhD,2023-01-19,27383
20,61,28567,62,12929,159,66,Male,Nairobi,High School,2023-01-20,18263
21,47,90792,60,3539,195,84,Male,New York,Bachelor,2023-01-21,33363
22,55,85441,14,37727,162,86,Female,Stockholm,PhD,2023-01-22,19316
23,19,104555,89,46951,186,68,Female,London,High School,2023-01-23,41087
24,38,93698,84,23669,187,93,Female,London,High School,2023-01-24,47490
25,50,25415,2,6432,173,78,Male,Nairobi,Bachelor,2023-01-25,10289
26,29,56159,70,21644,151,108,Female,New York,Master,2023-01-26,23560
27,39,63925,17,19745,171,56,Female,London,Master,2023-01-27,26254
28,61,25951,89,29228,166,77,Female,Nairobi,Master,2023-01-28,17738
29,42,107388,28,35521,185,58,Female,Stockholm,Bachelor,2023-01-29,36064
30,44,28007,66,32703,163,77,Female,Stockholm,Master,2023-01-30,9543
31,59,61832,35,27928,159,55,Male,London,PhD,2023-01-31,23218
32,45,78596,5,19322,184,78,Female,London,PhD,2023-02-01,29256
33,33,50523,65,23360,174,107,Female,New York,PhD,2023-02-02,17476
34,32,108861,40,30055,152,66,Female,New York,PhD,2023-02-03,43780
35,64,106740,76,43891,196,65,Male,London,High School,2023-02-04,39163
36,61,35524,56,17376,187,72,Female,Nairobi,PhD,2023-02-05,11818
37,20,39282,36,7588,166,80,Male,New York,Master,2023-02-06,20372
38,54,43930,45,26000,161,52,Male,London,Bachelor,2023-02-07,16245
39,24,20077,23,7304,173,70,Female,New York,Master,2023-02-08,12120
40,38,40611,47,8345,178,75,Female,London,PhD,2023-02-09,15424
41,26,36984,31,30300,192,85,Female,Stockholm,High School,2023-02-10,13896
42,56,34060,11,25259,174,91,Male,London,PhD,2023-02-11,13785
43,35,102985,10,26470,185,86,Male,Stockholm,Bachelor,2023-02-12,33349
44,21,104056,67,24017,175,102,Male,New York,Master,2023-02-13,27939
45,42,63303,14,16352,187,71,Male,London,Bachelor,2023-02-14,14784
46,31,79207,80,34365,150,91,Male,New York,Bachelor,2023-02-15,36409
47,26,95046,74,20446,169,61,Male,Stockholm,Bachelor,2023-02-16,35253
48,43,49287,93,3336,177,91,Female,London,Master,2023-02-17,21467
49,19,113709,10,10879,165,62,Female,New York,PhD,2023-02-18,28319
50,37,59711,76,33316,196,60,Male,Stockholm,Bachelor,2023-02-19,20114
51,45,31954,94,34340,166,103,Female,New York,Master,2023-02-20,8877
52,64,93340,1,8521,189,65,Female,Nairobi,High School,2023-02-21,27595
53,24,92101,5,7171,177,57,Male,Stockholm,Master,2023-02-22,25138
54,61,91520,20,24481,161,89,Male,Stockholm,High School,2023-02-23,24623
55,25,107062,8,19474,176,108,Female,Stockholm,Master,2023-02-24,32577
56,64,38574,43,47760,191,106,Male,London,PhD,2023-02-25,17692
57,52,29184,76,45629,196,89,Male,London,Bachelor,2023-02-26,26821
58,31,39096,1,46232,179,94,Female,London,PhD,2023-02-27,4269
59,34,87728,57,22008,190,108,Male,Nairobi,Master,2023-02-28,37815
60,53,54016,64,2633,183,51,Female,Nairobi,Bachelor,2023-03-01,27470
61,57,31246,84,13485,186,79,Female,Stockholm,High School,2023-03-02,13878
62,21,65558,28,44617,155,79,Female,Nairobi,Master,2023-03-03,23483
63,19,38381,37,4648,156,61,Female,New York,Bachelor,2023-03-04,12926
64,23,56455,47,48945,181,59,Female,Stockholm,High School,2023-03-05,22564
65,59,112263,76,14140,181,93,Male,Stockholm,High School,2023-03-06,48824
66,21,24018,37,18921,174,60,Male,New York,PhD,2023-03-07,13933
67,46,31302,49,15357,182,64,Male,Stockholm,Master,2023-03-08,16833
68,35,87506,44,47136,156,65,Male,Nairobi,High School,2023-03-09,28500
69,43,61157,56,4137,161,66,Female,London,Bachelor,2023-03-10,16526
70,61,74917,28,1097,165,75,Female,New York,High School,2023-03-11,24232
71,51,112738,79,12407,165,51,Male,Nairobi,High School,2023-03-12,47754
72,27,116646,6,31575,192,99,Female,New York,PhD,2023-03-13,27957
73,53,103122,61,13722,185,61,Male,New York,PhD,2023-03-14,31761
74,31,44519,20,13924,162,100,Male,Stockholm,Bachelor,2023-03-15,15987
75,48,116809,78,4750,156,75,Male,Stockholm,PhD,2023-03-16,37919
76,32,107487,2,28733,185,72,Female,Nairobi,High School,2023-03-17,28483
77,25,76819,73,9535,196,67,Female,New York,High School,2023-03-18,28227
78,31,100910,37,25487,158,81,Female,Stockholm,PhD,2023-03-19,27144
79,40,91324,20,31651,181,98,Female,Stockholm,High School,2023-03-20,24526
80,57,25408,26,5666,160,87,Male,New York,High School,2023-03-21,13739
81,38,79379,29,49777,157,106,Female,Nairobi,Bachelor,2023-03-22,20176
82,33,45053,1,17994,182,96,Female,Nairobi,PhD,2023-03-23,5626
83,62,29446,35,2727,172,52,Female,New York,High School,2023-03-24,9183
84,35,20922,70,35622,174,87,Male,Nairobi,PhD,2023-03-25,16936
85,64,118723,59,11800,157,52,Male,Stockholm,Bachelor,2023-03-26,40532
86,41,71356,69,38823,194,79,Female,New York,PhD,2023-03-27,25983
87,43,30789,33,44039,171,50,Female,Stockholm,High School,2023-03-28,12758
88,42,117720,51,19708,153,79,Female,London,PhD,2023-03-29,31687
89,62,86656,78,13819,189,94,Female,London,High School,2023-03-30,36270
90,58,64028,12,10369,152,81,Male,Nairobi,High School,2023-03-31,22325
91,46,84484,20,10283,178,77,Female,London,High School,2023-04-01,25298
92,32,52154,53,31573,190,70,Female,Stockholm,Bachelor,2023-04-02,25975
93,62,102870,88,14171,178,107,Female,London,PhD,2023-04-03,34023
94,18,22336,43,31933,183,95,Male,Stockholm,Bachelor,2023-04-04,16640
95,42,87779,98,6774,183,62,Male,Nairobi,PhD,2023-04-05,36906
96,24,39029,89,7519,177,76,Female,Nairobi,Bachelor,2023-04-06,18925
97,26,79201,50,11983,162,85,Female,Stockholm,Master,2023-04-07,28660
98,41,52265,29,31932,164,56,Female,London,High School,2023-04-08,18043
99,18,63872,57,31798,172,71,Female,Nairobi,High School,2023-04-09,30963
100,61,66197,39,19133,193,59,Female,New York,Bachelor,2023-04-10,18375
101,25,75180,95,15939,175,88,Male,Nairobi,Master,2023-04-11,28241
102,41,43710,56,1781,153,102,Male,London,High School,2023-04-12,23894
103,28,49486,43,28624,175,64,Male,New York,PhD,2023-04-13,16168
104,34,91907,50,7823,189,64,Female,London,Bachelor,2023-04-14,37074
105,25,91895,23,19489,158,53,Male,Stockholm,High School,2023-04-15,38365
106,52,84435,44,40961,154,81,Male,New York,High School,2023-04-16,27721
107,52,60631,38,30118,181,72,Male,London,Bachelor,2023-04-17,25396
108,50,40103,84,35881,169,104,Female,New York,Bachelor,2023-04-18,14662
109,22,84772,23,17280,199,55,Female,London,PhD,2023-04-19,31505
110,59,34382,45,23263,160,73,Male,New York,PhD,2023-04-20,15811
111,56,104291,52,14565,164,69,Female,London,High School,2023-04-21,38852
112,58,23756,80,21354,181,107,Male,Stockholm,High School,2023-04-22,11898
113,45,40609,50,43951,177,86,Male,New York,Bachelor,2023-04-23,8877
114,24,36478,8,26643,171,69,Male,New York,High School,2023-04-24,14259
115,26,59666,85,24648,190,61,Male,New York,High School,2023-04-25,16082
116,25,95683,1,42971,166,82,Female,New York,Bachelor,2023-04-26,27218
117,29,119097,8,19658,175,77,Female,Stockholm,High School,2023-04-27,41235
118,51,91315,29,22253,193,57,Female,New York,High School,2023-04-28,31253
119,50,97834,96,49563,156,50,Female,Nairobi,Master,2023-04-29,48691
120,40,34153,5,27390,191,86,Male,Stockholm,PhD,2023-04-30,15871
121,41,96325,86,24128,175,71,Female,Nairobi,Bachelor,2023-05-01,34228
122,54,32999,47,14489,174,55,Male,New York,Master,2023-05-02,14736
123,52,75318,34,39314,159,70,Female,London,PhD,2023-05-03,25758
124,61,20814,65,33658,194,81,Female,Nairobi,PhD,2023-05-04,4833
125,57,96077,55,7852,168,84,Female,New York,PhD,2023-05-05,29621
126,39,110474,90,30450,160,64,Male,Nairobi,Master,2023-05-06,39338
127,44,22443,43,3551,162,54,Male,New York,Master,2023-05-07,851
128,52,95993,74,7411,157,109,Male,New York,PhD,2023-05-08,36435
129,18,95916,30,34243,189,105,Male,New York,High School,2023-05-09,30529
130,52,93319,82,22800,153,95,Female,London,High School,2023-05-10,27831
131,54,37368,17,11403,196,99,Male,Nairobi,Master,2023-05-11,14931
132,64,35328,26,8239,180,97,Male,Stockholm,Master,2023-05-12,16777
133,31,76942,8,7710,177,55,Female,Stockholm,Master,2023-05-13,25017
134,20,111751,47,22384,160,74,Female,Stockholm,PhD,2023-05-14,36604
135,18,119131,76,22038,192,105,Male,Stockholm,High School,2023-05-15,46296
136,22,47306,91,41846,150,95,Female,New York,Master,2023-05-16,26692
137,43,105451,72,23447,198,108,Male,Nairobi,Master,2023-05-17,40372
138,31,59915,89,3285,196,105,Female,Nairobi,Bachelor,2023-05-18,22751
139,56,57219,46,38991,187,89,Male,London,PhD,2023-05-19,23148
140,44,100879,68,14521,173,78,Male,Nairobi,Bachelor,2023-05-20,43041
141,26,84644,33,48657,196,56,Male,Nairobi,High School,2023-05-21,25710
142,32,80279,1,7971,180,89,Male,Nairobi,Bachelor,2023-05-22,34673
143,32,73028,19,30139,190,62,Male,London,Bachelor,2023-05-23,21180
144,43,20126,31,20909,195,87,Female,Stockholm,Bachelor,2023-05-24,9299
145,59,72329,80,12531,199,67,Male,Nairobi,PhD,2023-05-25,26336
146,30,47632,14,15721,175,51,Male,London,High School,2023-05-26,16805
147,49,85310,53,20206,198,57,Male,London,Bachelor,2023-05-27,22181
148,56,75176,48,38711,199,60,Male,New York,PhD,2023-05-28,24622
149,49,106066,69,7530,154,82,Male,London,High School,2023-05-29,33259
150,21,64327,90,12116,169,103,Female,Stockholm,Master,2023-05-30,28974
151,47,88904,62,1258,190,87,Female,Nairobi,Bachelor,2023-05-31,37843
152,54,23797,92,1282,160,97,Male,London,High School,2023-06-01,19569
153,40,67882,66,14937,182,76,Female,Stockholm,Bachelor,2023-06-02,15106
154,56,33718,64,2898,199,69,Male,London,Master,2023-06-03,26725
155,62,54560,70,5135,187,61,Female,London,High School,2023-06-04,24844
156,32,96589,63,7629,176,92,Female,London,PhD,2023-06-05,31394
157,60,42116,73,44936,183,80,Male,London,High School,2023-06-06,20720
158,46,56244,33,20584,164,76,Female,London,PhD,2023-06-07,21054
159,53,21645,41,24551,181,81,Female,Stockholm,High School,2023-06-08,7259
160,30,67523,89,34380,170,59,Male,Nairobi,PhD,2023-06-09,30146
161,49,39256,48,47971,195,52,Male,Nairobi,Master,2023-06-10,13539
162,24,73173,13,18071,154,94,Female,Nairobi,Master,2023-06-11,21230
163,39,57430,73,21074,155,76,Female,Nairobi,Master,2023-06-12,21097
164,45,59282,77,26188,187,84,Female,Stockholm,High School,2023-06-13,18321
165,19,83374,31,3307,171,80,Male,New York,Master,2023-06-14,28841
166,59,88244,75,40901,167,64,Female,New York,Bachelor,2023-06-15,36899
167,62,31694,68,12205,163,65,Female,Stockholm,Master,2023-06-16,18882
168,23,76264,98,6906,159,62,Female,Stockholm,PhD,2023-06-17,36778
169,45,95060,4,3591,195,98,Male,London,PhD,2023-06-18,30539
170,45,117416,19,16149,162,84,Male,London,PhD,2023-06-19,34461
171,61,77545,70,45918,180,101,Male,London,High School,2023-06-20,34461
172,61,59224,98,40951,179,60,Male,Nairobi,Bachelor,2023-06-21,20779
173,37,117945,82,26150,152,108,Female,London,Master,2023-06-22,39080
174,47,33224,13,32852,179,70,Male,New York,Bachelor,2023-06-23,6446
175,28,60738,23,43870,155,100,Female,Nairobi,Bachelor,2023-06-24,25921
176,45,45150,83,2283,178,103,Female,London,PhD,2023-06-25,26558
177,42,83731,75,34691,157,60,Female,Nairobi,PhD,2023-06-26,35055
178,56,69688,1,2125,193,79,Female,New York,PhD,2023-06-27,26366
179,50,119929,88,2529,194,109,Male,London,High School,2023-06-28,40382
